borough,neighborhood,building_class_category,tax_class_as_of_final_roll,block,lot,building_class_as_of_final,address,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of,sale_price,sale_date,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,apartment_number
1,CHELSEA,21 OFFICE BUILDINGS,4,697,5,O2,555 WEST 25TH STREET,10001,0.0,8.0,8.0,"7,406","40,926",1926.0,4,O2,43300000,2019-03-28T00:00:00.000,40.749704,-74.00493,104.0,3.0,99.0,1012379.0,1006970005.0,Hudson Yards-Chelsea-Flatiron-Union Square,
1,CHELSEA,21 OFFICE BUILDINGS,4,697,23,O6,511 WEST 25TH STREET,10001,0.0,53.0,53.0,"9,890","83,612",1917.0,4,O6,148254147,2019-05-23T00:00:00.000,40.749364,-74.004132,104.0,3.0,99.0,1012382.0,1006970023.0,Hudson Yards-Chelsea-Flatiron-Union Square,
1,CHELSEA,21 OFFICE BUILDINGS,4,700,55,O2,538 WEST 29TH STREET,10001,1.0,3.0,4.0,"2,498","7,380",1910.0,4,O2,11000000,2019-03-13T00:00:00.000,40.752067,-74.002931,104.0,3.0,99.0,1012435.0,1007000055.0,Hudson Yards-Chelsea-Flatiron-Union Square,
1,CHELSEA,21 OFFICE BUILDINGS,4,712,1,O6,450 WEST 15TH,10011,0.0,30.0,30.0,"34,188","281,361",1936.0,4,O6,591800000,2019-05-22T00:00:00.000,,,,,,,,,
1,CHELSEA,21 OFFICE BUILDINGS,4,746,64,O8,340 WEST 23RD STREET,10011,3.0,1.0,4.0,"2,469","5,603",1900.0,4,O8,0,2019-04-01T00:00:00.000,40.745809,-73.999729,104.0,3.0,93.0,1013367.0,1007460064.0,Hudson Yards-Chelsea-Flatiron-Union Square,
1,CHELSEA,21 OFFICE BUILDINGS,4,802,75,O6,158 WEST 27 STREET,10001,0.0,14.0,14.0,"8,305","108,000",1913.0,4,O6,99350000,2019-10-24T00:00:00.000,40.746089,-73.992576,105.0,3.0,95.0,1015055.0,1008020075.0,Midtown-Midtown South,
1,CHELSEA,21 OFFICE BUILDINGS,4,803,4,O4,307 7 AVENUE,10001,0.0,194.0,194.0,"10,225","197,612",1926.0,4,O4,115000000,2019-10-17T00:00:00.000,40.746869,-73.993616,105.0,3.0,95.0,1015061.0,1008030004.0,Midtown-Midtown South,
1,CHELSEA,22 STORE BUILDINGS,4,697,13,K9,521 WEST 25TH STREET,10001,0.0,1.0,1.0,"24,687","81,065",1910.0,4,K9,148254147,2019-05-23T00:00:00.000,40.749441,-74.004313,104.0,3.0,99.0,1080314.0,1006970013.0,Hudson Yards-Chelsea-Flatiron-Union Square,
1,CHELSEA,22 STORE BUILDINGS,4,772,72,K7,250 WEST 23RD STREET,10011,0.0,1.0,1.0,"4,938","15,716",1948.0,4,K7,14500000,2019-09-05T00:00:00.000,40.744698,-73.997091,104.0,3.0,91.0,1014135.0,1007720072.0,Hudson Yards-Chelsea-Flatiron-Union Square,
1,CHELSEA,22 STORE BUILDINGS,4,772,74,K4,254 WEST 23RD STREET,10011,0.0,3.0,3.0,"2,468","4,700",1920.0,4,K4,4750000,2019-09-05T00:00:00.000,40.744731,-73.997174,104.0,3.0,91.0,1014136.0,1007720074.0,Hudson Yards-Chelsea-Flatiron-Union Square,
1,CHELSEA,22 STORE BUILDINGS,4,774,79,K4,276 WEST 25TH STREET,10001,0.0,2.0,2.0,"2,380","4,666",1910.0,4,K4,6900000,2019-08-02T00:00:00.000,40.746207,-73.996687,104.0,3.0,91.0,1014185.0,1007740079.0,Hudson Yards-Chelsea-Flatiron-Union Square,
1,CHELSEA,23 LOFT BUILDINGS,4,799,67,L1,"148 WEST 24TH STREET, 4 FL",10011,0.0,15.0,15.0,"4,937","55,923",1910.0,4,L1,4500000,2019-02-28T00:00:00.000,40.744149,-73.993721,104.0,3.0,91.0,1014966.0,1007990067.0,Hudson Yards-Chelsea-Flatiron-Union Square,
1,CHELSEA,23 LOFT BUILDINGS,4,802,54,L1,118 WEST 27TH STREET,10001,6.0,9.0,15.0,"3,703","43,393",1910.0,4,L1,0,2019-03-20T00:00:00.000,40.745749,-73.991764,105.0,3.0,95.0,1015050.0,1008020054.0,Midtown-Midtown South,
1,CHELSEA,30 WAREHOUSES,4,700,57,E9,542 WEST 29TH STREET,10001,0.0,1.0,1.0,"4,937","8,500",1946.0,4,E9,21350000,2019-03-13T00:00:00.000,40.752098,-74.002999,104.0,3.0,99.0,1012437.0,1007000057.0,Hudson Yards-Chelsea-Flatiron-Union Square,
